@relation Invistico_Airline

@attribute satisfaction {satisfied,dissatisfied}
@attribute 'Customer Type' {'Loyal Customer','disloyal Customer'}
@attribute Age numeric
@attribute 'Type of Travel' {'Personal Travel','Business travel'}
@attribute Class {Eco,Business,'Eco Plus'}
@attribute 'Flight Distance' numeric
@attribute 'Seat comfort' numeric
@attribute 'Departure/Arrival time convenient' numeric
@attribute 'Food and drink' numeric
@attribute 'Gate location' numeric
@attribute 'Inflight wifi service' numeric
@attribute 'Inflight entertainment' numeric
@attribute 'Online support' numeric
@attribute 'Ease of Online booking' numeric
@attribute 'On-board service' numeric
@attribute 'Leg room service' numeric
@attribute 'Baggage handling' numeric
@attribute 'Checkin service' numeric
@attribute Cleanliness numeric
@attribute 'Online boarding' numeric
@attribute 'Departure Delay in Minutes' numeric
@attribute 'Arrival Delay in Minutes' numeric

@data
satisfied,'Loyal Customer',53,'Business travel',Business,1184,5,5,5,5,3,5,4,4,4,4,4,4,4,5,0,0
satisfied,'Loyal Customer',46,'Business travel',Business,1227,1,1,1,1,5,5,4,4,4,4,4,3,4,5,3,0
satisfied,'Loyal Customer',39,'Business travel',Business,1196,1,1,1,1,4,4,5,4,4,4,4,4,4,5,0,0
satisfied,'Loyal Customer',55,'Business travel',Eco,864,4,5,5,5,5,1,4,4,4,4,4,2,4,3,0,0
satisfied,'Loyal Customer',55,'Business travel',Eco,1455,4,3,4,3,4,4,4,4,4,2,1,5,4,4,1,1
satisfied,'Loyal Customer',55,'Business travel',Eco,2350,4,5,5,5,4,4,4,4,3,5,5,3,1,4,9,0
satisfied,'Loyal Customer',55,'Business travel',Eco,427,4,2,2,2,3,3,2,4,4,4,4,5,4,3,0,0
satisfied,'Loyal Customer',55,'Business travel',Eco,2415,4,5,5,5,4,4,4,4,3,5,1,5,1,4,19,0
satisfied,'Loyal Customer',55,'Business travel',Eco,1013,4,3,3,3,3,4,3,4,4,4,4,3,4,1,0,0
satisfied,'Loyal Customer',54,'Business travel',Eco,2179,4,4,4,4,1,4,2,4,4,4,4,4,4,3,0,0
satisfied,'Loyal Customer',54,'Business travel',Eco,2265,4,4,4,4,4,4,4,4,3,3,4,2,1,4,0,0
dissatisfied,'Loyal Customer',54,'Business travel',Eco,1685,4,4,4,4,4,4,4,4,1,1,1,4,1,4,72,67
dissatisfied,'Loyal Customer',54,'Business travel',Eco,291,4,2,2,2,3,1,1,4,4,4,4,1,4,3,0,20
satisfied,'Loyal Customer',54,'Business travel',Eco,1902,4,4,3,4,4,4,4,4,5,1,4,1,5,4,0,0
satisfied,'Loyal Customer',54,'Business travel','Eco Plus',1594,4,3,3,3,4,4,4,4,3,1,3,4,4,4,13,20
satisfied,'Loyal Customer',46,'Business travel',Business,3773,1,1,1,1,5,5,5,4,4,4,4,4,4,5,26,23
satisfied,'Loyal Customer',39,'Business travel',Business,1932,4,4,4,4,4,4,5,4,4,4,4,4,4,3,17,1
satisfied,'Loyal Customer',51,'Business travel',Business,2818,5,5,5,5,2,5,5,4,4,4,4,3,4,5,6,0
satisfied,'Loyal Customer',31,'Business travel',Business,2814,4,4,4,4,4,4,4,4,3,3,4,3,1,4,18,12
satisfied,'Loyal Customer',51,'Business travel',Business,1212,5,5,5,5,3,5,5,4,4,4,4,4,4,5,0,0
satisfied,'Loyal Customer',30,'Business travel',Business,2514,1,1,1,1,4,4,4,4,4,2,4,5,5,4,15,11
satisfied,'Loyal Customer',46,'Business travel',Business,3035,3,3,3,3,4,4,4,5,2,4,5,4,5,4,315,299
satisfied,'Loyal Customer',47,'Business travel',Business,3030,4,4,4,4,5,4,4,4,4,4,4,5,4,3,3,0
satisfied,'Loyal Customer',67,'Business travel',Business,2404,3,3,3,3,2,4,4,4,4,4,4,3,4,4,0,0
satisfied,'Loyal Customer',47,'Business travel',Business,3374,5,5,5,5,2,4,4,4,4,4,4,5,4,3,0,0
satisfied,'Loyal Customer',51,'Business travel',Business,2949,5,5,5,5,5,4,4,4,4,4,4,4,4,5,0,0
satisfied,'Loyal Customer',46,'Business travel',Business,1200,3,3,3,3,4,5,4,4,4,4,4,3,4,4,0,0
satisfied,'Loyal Customer',32,'Business travel',Business,5470,5,5,3,5,4,4,4,4,4,1,2,5,4,4,0,0
satisfied,'Loyal Customer',55,'Business travel',Business,1191,2,2,2,2,4,4,5,4,4,4,4,3,4,4,0,0
satisfied,'Loyal Customer',49,'Business travel',Business,3857,2,2,2,2,4,5,4,4,4,4,4,3,4,4,0,0
satisfied,'Loyal Customer',51,'Business travel',Business,3383,3,3,3,3,2,5,4,4,4,4,4,4,4,4,57,62
satisfied,'Loyal Customer',37,'Business travel',Business,3430,3,3,3,3,1,2,5,4,4,4,4,1,4,2,8,0
satisfied,'Loyal Customer',42,'Business travel',Business,3565,1,1,1,1,4,5,4,4,4,4,4,5,4,3,0,5
satisfied,'Loyal Customer',33,'Business travel',Business,1180,5,5,5,5,5,5,4,4,4,4,4,4,4,4,12,0
satisfied,'Loyal Customer',29,'Business travel',Business,2419,4,4,4,4,4,4,4,4,3,2,5,4,4,4,0,3
satisfied,'Loyal Customer',55,'Business travel',Business,3363,5,5,5,5,2,5,4,4,4,4,4,3,4,4,0,17
satisfied,'Loyal Customer',42,'Business travel',Business,2345,5,5,5,5,5,5,4,4,4,4,4,3,4,5,0,0
satisfied,'Loyal Customer',31,'Business travel',Business,2224,4,4,4,4,4,4,4,4,4,5,4,5,5,4,0,0
satisfied,'Loyal Customer',26,'Business travel',Business,2591,1,1,1,1,4,4,4,4,4,2,5,4,5,4,3,16
satisfied,'Loyal Customer',30,'Business travel',Business,2719,4,3,4,4,4,4,4,4,4,5,3,4,2,4,0,0
satisfied,'Loyal Customer',50,'Business travel',Business,2399,1,1,1,1,5,4,5,4,4,4,4,4,4,5,0,2
satisfied,'Loyal Customer',34,'Business travel',Business,2425,2,2,2,2,3,4,5,4,4,4,4,5,4,5,0,0
satisfied,'Loyal Customer',24,'Business travel',Business,3304,5,5,5,5,4,4,4,4,5,5,4,4,4,4,0,0
satisfied,'Loyal Customer',23,'Business travel',Business,4123,1,1,1,1,4,4,4,4,3,4,5,3,4,4,0,0
satisfied,'Loyal Customer',27,'Business travel',Business,4762,3,5,3,3,4,4,4,4,3,2,4,3,5,4,31,29
satisfied,'Loyal Customer',56,'Business travel',Business,1121,1,1,1,1,4,4,5,4,4,4,4,3,4,3,0,0
satisfied,'Loyal Customer',55,'Business travel',Business,1157,4,4,4,4,3,4,4,4,4,4,4,5,4,5,2,0
satisfied,'Loyal Customer',52,'Business travel',Business,1874,5,5,2,5,5,5,5,4,4,4,4,3,4,4,4,0
satisfied,'Loyal Customer',49,'Business travel',Business,1143,3,3,3,3,3,5,4,4,4,4,4,4,4,4,0,0
satisfied,'Loyal Customer',46,'Business travel',Business,1128,3,3,3,3,3,4,5,4,4,4,4,3,4,5,0,0
satisfied,'Loyal Customer',43,'Business travel',Business,1126,4,4,4,4,5,1,2,4,4,4,4,2,4,5,0,0
satisfied,'Loyal Customer',35,'Business travel',Business,3273,4,4,4,4,3,4,4,4,4,4,4,4,4,3,0,0
satisfied,'Loyal Customer',26,'Business travel',Business,4439,3,3,3,3,4,4,4,4,4,1,5,2,2,4,85,91
satisfied,'Loyal Customer',24,'Business travel',Business,5245,3,3,4,3,4,4,4,4,1,2,3,1,2,4,1,1
satisfied,'Loyal Customer',51,'Business travel',Business,1137,3,3,3,3,2,5,4,4,4,4,4,5,4,4,12,4
satisfied,'Loyal Customer',40,'Business travel',Business,3908,1,1,1,1,4,4,4,3,4,4,5,4,3,4,225,213
satisfied,'Loyal Customer',40,'Business travel',Business,1746,1,1,1,1,5,4,5,4,4,4,4,4,4,3,0,0
satisfied,'Loyal Customer',26,'Business travel',Business,5094,4,4,4,4,4,4,4,4,4,2,5,4,5,4,0,0
satisfied,'Loyal Customer',41,'Business travel',Business,4866,4,2,4,4,5,1,5,4,4,4,4,5,4,4,129,107
satisfied,'Loyal Customer',40,'Business travel',Business,3711,4,4,4,4,4,5,5,4,4,4,4,5,4,4,0,0
satisfied,'Loyal Customer',49,'Business travel',Business,2747,2,2,2,2,4,5,5,4,4,4,4,4,4,5,0,9
satisfied,'Loyal Customer',42,'Business travel',Business,1114,4,4,4,4,4,5,4,4,4,4,4,4,4,4,0,0
satisfied,'Loyal Customer',57,'Business travel',Business,3786,2,2,2,2,3,5,5,4,4,4,4,5,4,3,0,2
satisfied,'Loyal Customer',48,'Business travel',Business,1129,2,2,2,2,5,5,5,4,4,4,4,4,4,4,18,5
satisfied,'Loyal Customer',27,'Business travel',Business,4437,2,1,2,2,4,4,4,4,4,2,5,3,5,4,15,18
satisfied,'Loyal Customer',41,'Business travel',Business,1103,4,4,2,4,3,4,5,4,4,4,4,4,4,5,0,1
satisfied,'Loyal Customer',32,'Business travel',Business,3824,3,3,3,3,4,4,4,4,3,3,5,3,5,4,6,7
satisfied,'Loyal Customer',49,'Business travel',Business,5395,1,1,1,1,4,4,4,3,3,4,5,4,3,4,358,357
satisfied,'Loyal Customer',46,'Business travel',Business,2930,1,1,1,1,3,4,4,4,4,4,4,3,4,4,7,1
satisfied,'Loyal Customer',42,'Business travel',Business,2338,4,4,4,4,5,5,4,4,4,4,4,3,4,4,1,0
satisfied,'Loyal Customer',24,'Business travel',Business,4360,1,1,1,1,4,4,4,4,5,4,5,4,5,4,0,0
satisfied,'Loyal Customer',58,'Business travel',Business,1139,1,1,1,1,2,5,4,4,4,4,4,4,4,4,24,28
satisfied,'Loyal Customer',57,'Business travel',Business,3183,2,2,2,2,5,4,4,4,4,4,4,5,4,5,0,0
satisfied,'Loyal Customer',55,'Business travel',Business,1107,5,5,5,5,3,4,5,4,4,4,4,4,4,3,0,0
satisfied,'Loyal Customer',55,'Business travel',Business,1102,3,3,3,3,5,4,4,4,4,4,4,5,4,4,0,0
satisfied,'Loyal Customer',47,'Business travel',Business,2984,2,2,2,2,5,5,5,4,4,4,4,3,4,4,56,51
satisfied,'Loyal Customer',47,'Business travel',Business,1144,3,5,3,3,3,4,4,4,4,4,4,3,4,4,0,0
satisfied,'Loyal Customer',46,'Business travel',Business,1100,5,5,5,5,3,5,5,4,4,4,4,5,4,3,0,0
satisfied,'Loyal Customer',42,'Business travel',Business,3244,3,3,3,3,2,5,4,4,4,4,4,5,4,5,0,0
satisfied,'Loyal Customer',41,'Business travel',Business,1146,3,4,3,3,2,5,5,4,4,4,4,4,4,5,0,0
satisfied,'Loyal Customer',40,'Business travel',Business,2489,5,5,5,5,4,5,4,4,4,4,4,3,4,3,3,1
satisfied,'Loyal Customer',40,'Business travel',Business,3451,3,3,3,3,3,4,5,4,4,4,4,3,4,5,17,0
satisfied,'Loyal Customer',27,'Business travel',Business,4779,5,5,5,5,4,4,4,4,3,4,4,5,5,4,31,21
satisfied,'Loyal Customer',54,'Business travel',Eco,2008,4,1,2,1,4,4,4,4,3,1,1,5,5,4,0,0
satisfied,'Loyal Customer',54,'Business travel',Eco,2268,4,4,4,4,4,4,4,4,4,2,4,2,2,4,3,0
satisfied,'Loyal Customer',54,'Business travel',Eco,2292,4,3,3,3,4,4,4,4,3,5,3,4,5,4,0,0
satisfied,'Loyal Customer',53,'Business travel','Eco Plus',2608,4,1,3,1,4,4,4,4,4,3,1,5,1,4,0,0
satisfied,'Loyal Customer',53,'Business travel',Eco,562,4,2,2,2,3,3,4,4,4,4,4,3,4,3,17,0
satisfied,'Loyal Customer',53,'Business travel',Eco,1167,4,2,2,2,4,4,4,4,1,5,4,2,5,4,0,0
satisfied,'Loyal Customer',53,'Business travel',Eco,2121,4,3,3,3,4,4,4,4,4,3,3,1,4,4,0,5
satisfied,'Loyal Customer',53,'Business travel','Eco Plus',2283,4,1,1,1,4,4,4,4,2,3,5,3,3,4,0,0
satisfied,'Loyal Customer',53,'Business travel',Eco,1566,4,1,1,1,4,4,4,4,2,4,3,5,4,4,0,0
satisfied,'Loyal Customer',53,'Business travel',Eco,1474,4,5,5,5,4,4,4,4,4,3,5,4,1,4,0,0
satisfied,'Loyal Customer',53,'Business travel',Eco,983,4,4,4,4,4,4,4,4,5,3,1,1,4,4,5,0
satisfied,'Loyal Customer',53,'Business travel',Eco,1660,4,4,5,5,4,4,4,4,4,3,4,3,4,4,0,0
satisfied,'Loyal Customer',53,'Business travel',Eco,52,4,3,3,3,1,5,4,4,4,4,4,5,4,5,17,13
satisfied,'Loyal Customer',43,'Business travel',Business,3038,5,5,1,5,5,4,4,4,4,4,4,5,4,3,0,0
satisfied,'Loyal Customer',26,'Business travel',Business,3478,4,4,4,4,4,4,4,4,5,4,1,4,3,4,37,28
satisfied,'Loyal Customer',60,'Business travel',Business,3209,5,5,5,5,2,5,4,4,4,4,4,5,4,3,0,0
satisfied,'Loyal Customer',57,'Business travel',Business,1106,5,5,5,5,2,5,5,4,4,4,4,5,4,4,19,0
satisfied,'Loyal Customer',39,'Business travel',Business,1121,1,1,1,1,5,4,4,4,4,4,4,5,4,5,23,14
satisfied,'Loyal Customer',50,'Business travel',Business,3526,2,2,2,2,3,4,5,4,4,4,4,4,4,3,0,0
satisfied,'Loyal Customer',49,'Business travel',Business,3937,1,1,1,1,3,5,4,4,4,4,4,4,4,3,0,0
satisfied,'Loyal Customer',46,'Business travel',Business,4630,4,4,4,4,4,4,4,3,2,5,5,4,5,4,243,244
satisfied,'Loyal Customer',37,'Business travel',Business,1117,5,5,5,5,3,5,5,4,4,4,4,5,4,4,0,0
satisfied,'Loyal Customer',30,'Business travel',Business,4707,4,2,4,4,4,4,4,4,5,4,4,5,4,4,0,0
satisfied,'Loyal Customer',40,'Business travel',Business,1988,2,2,2,2,1,1,5,4,4,4,4,2,4,5,0,0
satisfied,'Loyal Customer',32,'Business travel',Business,2342,5,5,2,5,4,4,4,4,1,1,4,1,1,4,0,0
satisfied,'Loyal Customer',42,'Business travel',Business,1102,4,4,5,4,5,4,4,4,4,4,4,4,4,4,0,0
satisfied,'Loyal Customer',60,'Business travel',Business,2706,2,2,3,2,5,5,4,4,4,4,4,5,4,5,3,0
satisfied,'Loyal Customer',53,'Business travel',Business,1128,4,4,4,4,3,5,5,4,4,4,4,3,4,5,16,4
satisfied,'Loyal Customer',47,'Business travel',Business,3875,4,4,4,4,3,4,4,4,4,4,4,3,4,4,10,0
satisfied,'Loyal Customer',47,'Business travel',Business,1973,2,2,2,2,3,5,5,4,4,4,4,3,4,4,0,0
satisfied,'Loyal Customer',40,'Business travel',Business,1802,1,1,1,1,2,5,4,4,4,4,4,4,4,5,23,5
satisfied,'Loyal Customer',42,'Business travel',Business,2642,5,5,5,5,2,4,4,4,4,4,4,4,4,5,0,0
satisfied,'Loyal Customer',39,'Business travel',Business,1944,5,5,2,5,4,4,4,4,4,4,4,5,4,5,0,0
satisfied,'Loyal Customer',53,'Business travel',Business,2166,1,1,1,1,5,5,4,4,4,4,4,4,4,3,0,0
satisfied,'Loyal Customer',49,'Business travel',Business,3691,3,3,3,3,5,5,5,4,4,4,4,3,4,3,0,0
satisfied,'Loyal Customer',47,'Business travel',Business,1105,3,3,3,3,5,5,4,4,4,4,4,4,4,5,0,0
satisfied,'Loyal Customer',46,'Business travel',Business,1786,1,1,1,1,4,4,5,4,4,4,4,3,4,5,0,5
satisfied,'Loyal Customer',34,'Business travel',Business,1680,3,3,4,3,3,5,4,4,4,4,4,4,4,3,0,0
satisfied,'Loyal Customer',59,'Business travel',Business,1652,1,4,1,1,5,5,5,4,4,4,4,4,4,3,0,0
satisfied,'Loyal Customer',27,'Business travel',Business,2653,3,3,3,3,4,4,4,4,4,3,2,5,1,4,0,0
satisfied,'Loyal Customer',52,'Business travel',Business,2842,3,3,3,3,4,4,5,4,4,4,4,3,4,2,0,0
satisfied,'Loyal Customer',51,'Business travel',Business,3813,2,2,2,2,3,5,5,4,4,4,4,5,4,3,0,0
satisfied,'Loyal Customer',43,'Business travel',Business,1108,4,4,4,4,4,4,4,4,4,4,4,3,4,4,37,12
satisfied,'Loyal Customer',42,'Business travel',Business,1072,1,1,1,1,2,1,2,4,4,4,4,4,4,1,2,0
satisfied,'Loyal Customer',39,'Business travel',Business,2206,1,1,3,1,4,4,5,4,4,4,4,4,4,5,0,3
satisfied,'Loyal Customer',32,'Business travel',Business,4540,5,5,5,5,4,4,4,4,4,2,5,5,5,4,18,0
satisfied,'Loyal Customer',60,'Business travel',Business,3639,2,2,2,2,2,5,5,4,4,4,4,5,4,5,6,0
satisfied,'Loyal Customer',54,'Business travel',Business,2547,3,2,3,3,3,1,4,4,4,4,4,3,4,5,13,33
satisfied,'Loyal Customer',47,'Business travel',Business,1076,5,5,5,5,3,4,5,4,4,4,4,4,4,5,0,0
satisfied,'Loyal Customer',44,'Business travel',Business,3637,4,4,4,4,2,3,2,4,4,4,4,4,4,4,0,0
satisfied,'Loyal Customer',43,'Business travel',Business,2590,4,5,4,4,2,5,5,4,4,4,4,5,4,5,0,0
satisfied,'Loyal Customer',42,'Business travel',Business,3644,1,1,1,1,2,4,4,4,4,4,4,4,4,4,0,0
satisfied,'Loyal Customer',47,'Business travel',Business,2671,5,5,3,5,5,4,4,4,4,4,4,4,4,5,0,0
satisfied,'Loyal Customer',41,'Business travel',Business,3597,2,2,3,2,2,5,5,4,4,4,4,4,4,5,13,52
